DEPT,CALI,SGR,CGR,THOR,URAN,POTA,ILD,ILM,SFLU,PEF,NPHI,RHOB
428,5.441,118.394,87.77,9.916,3.474,2.326,17.693,16.1,9.881,2.613,36.914,2.269
428.5,5.426,128.436,94.367,10.921,3.864,2.437,16.496,15.628,12.38,2.629,37.695,2.285
429,5.199,118.372,86.745,10.616,3.587,2.098,15.356,14.864,18.564,2.611,38.428,2.283
429.5,5.203,114.529,83.677,10.491,3.499,1.962,14.445,14.324,15.425,2.561,36.182,2.297
430,5.211,113.485,82.478,10.524,3.517,1.888,13.748,14.54,15.789,2.6,37.744,2.294
430.5,5.207,115.174,83.43,10.766,3.601,1.88,13.683,13.949,20.047,2.678,35.4,2.291
431,5.262,114.552,82.793,10.769,3.602,1.845,13.951,13.107,19.527,2.748,33.789,2.302
431.5,5.328,129.429,91.528,12.071,4.299,1.999,14.774,13.091,14.156,2.652,34.424,2.3
432,5.328,128.4,90.954,12.03,4.248,1.977,15.882,14.54,8.429,2.541,36.768,2.285
432.5,5.301,116.262,82.615,11.248,3.817,1.717,16.743,17.19,10.631,2.73,36.963,2.285
433,5.195,110.197,78.376,10.783,3.609,1.601,17.141,19.446,23.58,3.133,34.277,2.309
433.5,5.168,83.36,56.433,8.071,3.054,1.077,17.622,20.491,45.843,3.248,32.568,2.337
434,5.168,81.095,54.875,7.935,2.974,1.026,18.611,21.309,68.938,3.268,29.492,2.34
434.5,5.078,80.503,54.236,7.807,2.979,1.023,20.719,21.524,53.596,3.102,30.176,2.35
435,5.094,83.246,56.163,8.021,3.072,1.075,23.215,22.617,36.862,3.16,30.029,2.357
435.5,5.203,102.971,71.518,11.277,3.568,1.106,24.289,24.483,22.522,3.244,32.031,2.377
436,5.258,99.89,69.602,11.135,3.436,1.037,23.809,26.097,30.823,3.4,31.299,2.387
436.5,5.266,101.703,70.752,11.351,3.511,1.046,22.624,24.483,46.914,3.609,31.299,2.424
437,5.262,100.684,69.75,11.263,3.509,1.013,21.475,21.876,43.211,3.145,29.883,2.428
437.5,5.309,104.802,72.174,11.582,3.701,1.066,21.388,20.296,25.369,2.73,27.979,2.408
438,5.371,108.727,74.554,11.764,3.876,1.151,22.335,20.258,20.047,2.385,28.271,2.378
438.5,5.316,105.938,72.491,11.587,3.794,1.082,23.611,21.057,17.537,2.268,29.297,2.352
439,4.965,102.101,69.439,11.262,3.705,0.997,24.828,23.881,16.663,2.141,32.031,2.313
439.5,4.609,100.08,67.604,11.052,3.684,0.949,26.276,28.686,19.849,1.979,32.52,2.246
440,4.52,67.727,32.47,4.268,3.999,0.712,28.54,33.229,58.833,1.912,35.059,2.149
440.5,4.461,41.926,9.528,0.881,3.675,0.301,31.426,36.893,132.797,1.913,35.596,2.098
441,4.453,34.407,4.737,0.052,3.365,0.245,35.15,41.951,153.05,2,34.961,2.084
441.5,4.41,33.784,4.474,0.057,3.325,0.229,39.43,47.115,132.797,1.961,31.982,2.084
442,4.355,33.279,3.81,0.095,3.343,0.184,39.634,49.282,138.925,1.985,30.469,2.089
