DEPT,CALI,SGR,CGR,THOR,URAN,POTA,ILD,ILM,SFLU,PEF,NPHI,RHOB
131.5,5.41,46.91,34.623,4.715,1.394,0.719,44.741,39.332,36.195,1.848,29.15,2.085
132,5.41,61.519,42.114,5.948,2.201,0.822,43.418,39.919,34.144,1.926,30.811,2.083
132.5,5.41,84.594,61.017,7.741,2.674,1.408,42.009,38.904,51.755,2.197,34.766,2.099
133,5.406,103.559,67.304,8.476,4.112,1.568,40.33,37.939,67.395,3.031,36.084,2.164
133.5,5.406,85.9,55.544,8.135,3.443,1.013,39.917,37.409,56.62,2.777,35.547,2.239
134,5.43,66.822,49.927,6.679,1.916,1.067,40.057,37.149,58.264,2.34,34.961,2.241
134.5,5.434,63.66,47.662,6.458,1.815,0.998,39.251,36.893,59.414,1.894,35.254,2.148
135,5.445,60.595,45.424,6.271,1.721,0.923,37.69,36.146,59.414,1.815,37.451,2.072
135.5,5.492,56.176,42.322,6.022,1.571,0.815,35.27,34.515,49.62,1.8,35.937,2.043
136,5.527,62.257,46.91,6.606,1.741,0.921,31.084,32.326,41.143,1.862,35.352,2.056
136.5,5.582,70.122,52.252,7.222,2.027,1.059,27.209,28.533,42.903,1.913,33.203,2.085
137,5.656,70.894,52.789,7.381,2.054,1.049,24.449,23.359,40.049,1.977,31.836,2.116
137.5,5.723,73.702,55.217,7.707,2.097,1.101,22.413,19.77,27.202,1.962,34.424,2.14
138,5.824,69.791,52.811,7.493,1.926,1.023,21.024,18.218,16.896,1.961,35.4,2.147
138.5,5.922,76.729,59.291,8.045,1.978,1.239,20.109,17.674,15.191,1.959,36.524,2.136
139,6.289,81.552,63.17,8.353,2.085,1.374,18.892,17.704,14.223,2.027,36.719,2.118
139.5,6.172,83.68,65.208,8.555,2.095,1.435,18.093,17.587,21.71,2.111,36.523,2.083
140,5.984,83.924,65.981,8.61,2.035,1.463,18.417,17.135,28.091,2.365,36.572,2.113
140.5,6.023,80.321,63.898,8.356,1.863,1.413,19.417,17.704,25.803,2.309,34.863,2.119
141,5.652,77.522,62.168,8.235,1.742,1.349,21.113,19.517,15.346,2.287,35.059,2.166
141.5,5.527,84.373,66.903,8.634,1.982,1.508,23.332,22.241,16.171,2.137,36.328,2.18
142,5.707,92.68,72.825,9.422,2.252,1.635,24.986,24.998,25.585,2.324,37.549,2.168
142.5,5.59,90.985,71.889,9.437,2.166,1.58,26.582,27.02,50.88,2.471,36.963,2.19
143,5.492,86.31,68.32,9.109,2.041,1.467,28.828,28.232,67.395,2.547,35.254,2.246
143.5,5.441,72.838,54.846,9.559,2.041,0.623,30.995,29.477,52.658,2.221,33.398,2.226
144,5.371,69.276,52.448,9.311,1.909,0.554,32.891,31.196,36.636,1.972,33.447,2.174
144.5,5.371,73.264,54.656,9.473,2.111,0.634,34.654,33.333,34.339,1.879,32.959,2.124
145,5.371,55.453,35.165,7.456,2.301,0.072,35.79,33.86,37.319,1.981,31.592,2.125
145.5,5.379,71.996,40.149,7.548,3.612,0.32,36.109,34.627,40.049,2.238,31.25,2.169
146,5.371,65.26,34.585,6.796,3.479,0.203,36.511,35.312,41.714,2.203,33.838,2.191
146.5,5.379,62.333,32.207,6.451,3.417,0.159,36.949,35.784,46.915,2.127,33.74,2.188
147,5.371,63.606,33.042,6.4,3.467,0.217,36.909,35.784,54.568,2.025,34.57,2.178
147.5,5.363,60.871,31.247,6.131,3.36,0.186,36.071,36.146,55.067,2.033,31.982,2.168
148,5.355,60.71,30.76,6.005,3.397,0.19,34.503,35.904,54.568,2.012,33.643,2.139
